index,total_fiat_usd,total_fiat_eur,total_fiat_cad,total_fiat_chf,cash_in_fiat_usd,cash_in_fiat_eur,cash_in_fiat_cad,cash_in_fiat_chf,cash_in_fiat_usd_percent,cash_in_fiat_eur_percent,cash_in_fiat_cad_percent,cash_in_fiat_chf_percent
2023-10-26,2616.43751759,2476.4675705050545,3630.134397388849,2361.5975283100615,2630.726123407336,2500.6900000000032,3653.8534685090235,2374.764154419783,0.9945685696088996,0.9903137016203732,0.9935084777414861,0.9944556068503828
2023-10-27,2597.31627415,2458.369244453489,3603.604933923455,2344.33868649078,2630.726123407336,2500.6900000000032,3653.8534685090235,2374.764154419783,0.9873001415996647,0.9830763687036321,0.9862477970124859,0.9871880043867192
2023-10-28,3605.870696546642,3412.9696518254673,5002.907640663807,3254.660303225571,3693.280856336064,3500.6900000000032,5128.078042641327,3333.826472594299,0.9763326529474562,0.9749419833876933,0.9755911667223676,0.976253662264814
2023-10-29,3702.3963001090906,3487.858145574786,5119.251552215879,3339.508598277289,3693.280856336064,3500.6900000000032,5128.078042641327,3333.826472594299,1.0024681155123603,0.9963344785098888,0.9982787917125963,1.0017043855550671
2023-10-30,3671.907264680167,3472.4825895616414,5094.705735407389,3342.8078334745933,3693.280856336064,3500.6900000000032,5128.078042641327,3333.826472594299,0.9942128442197323,0.9919423283871575,0.9934922388160947,1.0026940097075014
2023-10-31,3641.6672024252966,3445.6118861058726,5045.432721312453,3306.23330269988,3693.280856336064,3500.6900000000032,5128.078042641327,3333.826472594299,0.9860249853941595,0.9842664977778294,0.9838837629533608,0.9917232735053103
2023-11-01,13234.02175575183,12458.598580124857,18179.600191977348,11988.858873183039,13118.103717028274,12495.542944790153,18172.780622400973,11890.003357691927,1.0088364935377883,0.9970433966072119,1.0003752628570208,1.0083141705277283
2023-11-02,13068.852634882316,12181.321546970077,17848.015835027676,11750.293454846695,13118.103717028274,12495.542944790153,18172.780622400973,11890.003357691927,0.9962455639009755,0.9748533217637344,0.9821290536588017,0.9882498012286219
2023-11-03,13136.936030582268,12244.781267436822,17940.996723136537,11811.507694629428,13118.103717028274,12495.542944790153,18172.780622400973,11890.003357691927,1.0014355972448632,0.9799319102450139,0.9872455457378535,0.9933981799078536
2023-11-04,15368.472482418036,14324.769757860333,20988.58621255348,13817.897153354375,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0071014435680956,0.9882199128677367,0.9948097312084834,1.0001452793871786
2023-11-05,15423.717683924693,14390.883943313112,21130.117110892254,13873.181548191114,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0107216811845026,0.9927809184330525,1.0015179636500702,1.004146787424624
2023-11-06,15703.512092272731,14676.179525488533,21618.27105213757,14134.7015655161,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0290567078354567,1.0124625454416987,1.024655314882816,1.0230757176294156
2023-11-07,15616.227433060203,14581.931062777403,21537.544558539455,14044.443534856715,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.023336913210789,1.005960646340863,1.0208290685323251,1.0165428029399435
2023-11-08,15901.025282980116,14905.208315426473,21953.645289217333,14357.066365982371,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0419998171596079,1.0282625069532951,1.0405512666760823,1.0391705765663435
2023-11-09,15623.213463164877,14622.042231569325,21556.842010865723,14086.134469818302,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0237947102372194,1.0087277872023646,1.0217437224860164,1.0195604105637595
2023-11-10,15995.084031974517,14970.08248427613,22069.947404914165,14421.41881128689,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.048163520286307,1.0327379677510367,1.0460637140264495,1.0438284339576696
2023-11-11,15971.481566656397,14947.992518888126,22037.380825885517,14400.138458107685,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0466168423766555,1.0312140519017778,1.0445201346065793,1.0422881529337436
2023-11-12,15837.643599486191,14802.642813935801,21866.137787499916,14279.532419529256,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0378463929975428,1.0211868420274608,1.036403616454165,1.0335586365094211
2023-11-13,15370.628584495187,14128.584703233897,21047.00614062055,13665.939314415053,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0072427337006618,0.9746857352951789,0.9975786987010561,0.9891465063036672
2023-11-14,15129.469709678548,13947.296830339013,20701.480090961835,13435.75804990724,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,0.9914395072424078,0.9621792665013015,0.9812015748154594,0.9724858883712942
2023-11-15,16241.488663147953,14965.25197474196,22339.349086561106,14432.837617154266,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.0643105030160824,1.0324047263941663,1.0588327215142437,1.044654931988285
2023-11-16,16042.83125160367,14701.065044950992,22013.421497174946,14207.56858024989,15260.103717028274,14495.528344790153,21098.09097570526,13815.889989323401,1.051292412495334,1.014179317598638,1.0433845186525976,1.0283498631813925
