id,cg_id,date,open,high,low,close
fiat_eur_01012015,fiat_eur,01-01-2015,1.20992,1.20992,1.19981,1.19995
fiat_eur_02012015,fiat_eur,02-01-2015,1.20992,1.20992,1.19981,1.19995
fiat_eur_03012015,fiat_eur,03-01-2015,1.20992,1.20992,1.19981,1.19995
fiat_eur_04012015,fiat_eur,04-01-2015,1.19552,1.19762,1.18627,1.19325
fiat_eur_05012015,fiat_eur,05-01-2015,1.19325,1.19687,1.18841,1.18891
fiat_eur_06012015,fiat_eur,06-01-2015,1.18891,1.18965,1.1802,1.18394
fiat_eur_07012015,fiat_eur,07-01-2015,1.18394,1.18474,1.17541,1.17894
fiat_eur_08012015,fiat_eur,08-01-2015,1.17894,1.18461,1.17624,1.18411
fiat_eur_09012015,fiat_eur,09-01-2015,1.17894,1.18461,1.17624,1.18411
fiat_eur_10012015,fiat_eur,10-01-2015,1.17894,1.18461,1.17624,1.18411
fiat_eur_11012015,fiat_eur,11-01-2015,1.18482,1.18709,1.1786,1.18332
fiat_eur_12012015,fiat_eur,12-01-2015,1.18332,1.18595,1.17529,1.17723
fiat_eur_13012015,fiat_eur,13-01-2015,1.17723,1.18464,1.17273,1.17875
fiat_eur_14012015,fiat_eur,14-01-2015,1.17875,1.17929,1.15667,1.16295
fiat_eur_15012015,fiat_eur,15-01-2015,1.16295,1.16487,1.14593,1.15581
fiat_eur_16012015,fiat_eur,16-01-2015,1.16295,1.16487,1.14593,1.15581
fiat_eur_17012015,fiat_eur,17-01-2015,1.16295,1.16487,1.14593,1.15581
fiat_eur_18012015,fiat_eur,18-01-2015,1.15517,1.16389,1.15505,1.16011
fiat_eur_19012015,fiat_eur,19-01-2015,1.16011,1.16149,1.15403,1.15473
fiat_eur_20012015,fiat_eur,20-01-2015,1.15473,1.16796,1.15413,1.16077
fiat_eur_21012015,fiat_eur,21-01-2015,1.16077,1.1651,1.13159,1.13647
fiat_eur_22012015,fiat_eur,22-01-2015,1.13647,1.13739,1.11142,1.12042
fiat_eur_23012015,fiat_eur,23-01-2015,1.13647,1.13739,1.11142,1.12042
fiat_eur_24012015,fiat_eur,24-01-2015,1.13647,1.13739,1.11142,1.12042
fiat_eur_25012015,fiat_eur,25-01-2015,1.11511,1.12953,1.10971,1.12372
fiat_eur_26012015,fiat_eur,26-01-2015,1.12372,1.14225,1.12236,1.13799
fiat_eur_27012015,fiat_eur,27-01-2015,1.13799,1.13832,1.1276,1.12856
fiat_eur_28012015,fiat_eur,28-01-2015,1.12856,1.13679,1.12617,1.13192
fiat_eur_29012015,fiat_eur,29-01-2015,1.13192,1.13638,1.1275,1.12771
fiat_eur_30012015,fiat_eur,30-01-2015,1.13192,1.13638,1.1275,1.12771
fiat_eur_31012015,fiat_eur,31-01-2015,1.13192,1.13638,1.1275,1.12771
fiat_eur_01022015,fiat_eur,01-02-2015,1.13108,1.13621,1.12923,1.13379
fiat_eur_02022015,fiat_eur,02-02-2015,1.13379,1.15338,1.13123,1.14777
fiat_eur_03022015,fiat_eur,03-02-2015,1.14777,1.14847,1.13153,1.13434
fiat_eur_04022015,fiat_eur,04-02-2015,1.13434,1.14988,1.13039,1.14751
fiat_eur_05022015,fiat_eur,05-02-2015,1.14751,1.14856,1.13112,1.1314
fiat_eur_06022015,fiat_eur,06-02-2015,1.14751,1.14856,1.13112,1.1314
fiat_eur_07022015,fiat_eur,07-02-2015,1.14751,1.14856,1.13112,1.1314
fiat_eur_08022015,fiat_eur,08-02-2015,1.12963,1.13594,1.12702,1.13232
fiat_eur_09022015,fiat_eur,09-02-2015,1.13232,1.13453,1.12729,1.13207
fiat_eur_10022015,fiat_eur,10-02-2015,1.13207,1.13469,1.12797,1.13354
fiat_eur_11022015,fiat_eur,11-02-2015,1.13354,1.14231,1.1302,1.14004
fiat_eur_12022015,fiat_eur,12-02-2015,1.14004,1.14431,1.138,1.1383
fiat_eur_13022015,fiat_eur,13-02-2015,1.14004,1.14431,1.138,1.1383
fiat_eur_14022015,fiat_eur,14-02-2015,1.14004,1.14431,1.138,1.1383
fiat_eur_15022015,fiat_eur,15-02-2015,1.13963,1.14289,1.13193,1.1351
fiat_eur_16022015,fiat_eur,16-02-2015,1.1351,1.1449,1.1322,1.14105
fiat_eur_17022015,fiat_eur,17-02-2015,1.14105,1.14161,1.13338,1.13966
fiat_eur_18022015,fiat_eur,18-02-2015,1.13966,1.14502,1.13551,1.13677
fiat_eur_19022015,fiat_eur,19-02-2015,1.13677,1.14298,1.12789,1.13778
fiat_eur_20022015,fiat_eur,20-02-2015,1.13677,1.14298,1.12789,1.13778
fiat_eur_21022015,fiat_eur,21-02-2015,1.13677,1.14298,1.12789,1.13778
fiat_eur_22022015,fiat_eur,22-02-2015,1.13896,1.13961,1.12949,1.13342
fiat_eur_23022015,fiat_eur,23-02-2015,1.13342,1.13581,1.12881,1.13391
fiat_eur_24022015,fiat_eur,24-02-2015,1.13391,1.13887,1.13357,1.13605
fiat_eur_25022015,fiat_eur,25-02-2015,1.13605,1.13796,1.11836,1.11975
fiat_eur_26022015,fiat_eur,26-02-2015,1.11975,1.12451,1.11757,1.11905
fiat_eur_27022015,fiat_eur,27-02-2015,1.11975,1.12451,1.11757,1.11905
fiat_eur_28022015,fiat_eur,28-02-2015,1.11975,1.12451,1.11757,1.11905
fiat_eur_01032015,fiat_eur,01-03-2015,1.11819,1.12405,1.116,1.1183
fiat_eur_02032015,fiat_eur,02-03-2015,1.1183,1.12175,1.11545,1.11754
fiat_eur_03032015,fiat_eur,03-03-2015,1.11754,1.11855,1.10615,1.10766
fiat_eur_04032015,fiat_eur,04-03-2015,1.10766,1.11145,1.09873,1.10258
fiat_eur_05032015,fiat_eur,05-03-2015,1.10258,1.10327,1.08371,1.08387
fiat_eur_06032015,fiat_eur,06-03-2015,1.10258,1.10327,1.08371,1.08387
fiat_eur_07032015,fiat_eur,07-03-2015,1.10258,1.10327,1.08371,1.08387
fiat_eur_08032015,fiat_eur,08-03-2015,1.083,1.09065,1.08226,1.08502
fiat_eur_09032015,fiat_eur,09-03-2015,1.08502,1.08556,1.06926,1.0697
fiat_eur_10032015,fiat_eur,10-03-2015,1.0697,1.07169,1.0511,1.05469
fiat_eur_11032015,fiat_eur,11-03-2015,1.05469,1.06837,1.0494,1.06347
fiat_eur_12032015,fiat_eur,12-03-2015,1.06347,1.06347,1.04624,1.04889
fiat_eur_13032015,fiat_eur,13-03-2015,1.06347,1.06347,1.04624,1.04889
fiat_eur_14032015,fiat_eur,14-03-2015,1.06347,1.06347,1.04624,1.04889
fiat_eur_15032015,fiat_eur,15-03-2015,1.04701,1.06194,1.04696,1.05666
fiat_eur_16032015,fiat_eur,16-03-2015,1.05666,1.06508,1.05513,1.05964
fiat_eur_17032015,fiat_eur,17-03-2015,1.05964,1.10409,1.05799,1.08604
fiat_eur_18032015,fiat_eur,18-03-2015,1.08604,1.09193,1.06128,1.06591
fiat_eur_19032015,fiat_eur,19-03-2015,1.06591,1.08824,1.06483,1.08148
fiat_eur_20032015,fiat_eur,20-03-2015,1.06591,1.08824,1.06483,1.08148
fiat_eur_21032015,fiat_eur,21-03-2015,1.06591,1.08824,1.06483,1.08148
fiat_eur_22032015,fiat_eur,22-03-2015,1.08391,1.09712,1.07673,1.09454
fiat_eur_23032015,fiat_eur,23-03-2015,1.09454,1.10292,1.08905,1.09244
fiat_eur_24032015,fiat_eur,24-03-2015,1.09244,1.10144,1.09008,1.09681
fiat_eur_25032015,fiat_eur,25-03-2015,1.09681,1.10522,1.08563,1.08834
fiat_eur_26032015,fiat_eur,26-03-2015,1.08834,1.09489,1.08012,1.08859
fiat_eur_27032015,fiat_eur,27-03-2015,1.08834,1.09489,1.08012,1.08859
fiat_eur_28032015,fiat_eur,28-03-2015,1.08834,1.09489,1.08012,1.08859
fiat_eur_29032015,fiat_eur,29-03-2015,1.08858,1.08949,1.08099,1.08318
fiat_eur_30032015,fiat_eur,30-03-2015,1.08318,1.08454,1.0713,1.07314
fiat_eur_31032015,fiat_eur,31-03-2015,1.07314,1.07998,1.07185,1.07626
fiat_eur_01042015,fiat_eur,01-04-2015,1.07626,1.09054,1.07503,1.08793
fiat_eur_02042015,fiat_eur,02-04-2015,1.08793,1.1027,1.08637,1.09675
fiat_eur_03042015,fiat_eur,03-04-2015,1.08793,1.1027,1.08637,1.09675
fiat_eur_04042015,fiat_eur,04-04-2015,1.08793,1.1027,1.08637,1.09675
fiat_eur_05042015,fiat_eur,05-04-2015,1.10012,1.10356,1.09097,1.09221
fiat_eur_06042015,fiat_eur,06-04-2015,1.09221,1.09548,1.08032,1.08146
fiat_eur_07042015,fiat_eur,07-04-2015,1.08146,1.08875,1.07628,1.07796
fiat_eur_08042015,fiat_eur,08-04-2015,1.07796,1.07888,1.06376,1.06587
fiat_eur_09042015,fiat_eur,09-04-2015,1.06587,1.06837,1.05678,1.05992
fiat_eur_10042015,fiat_eur,10-04-2015,1.06587,1.06837,1.05678,1.05992
fiat_eur_11042015,fiat_eur,11-04-2015,1.06587,1.06837,1.05678,1.05992
fiat_eur_12042015,fiat_eur,12-04-2015,1.05846,1.06197,1.05203,1.05666
fiat_eur_13042015,fiat_eur,13-04-2015,1.05666,1.07073,1.05312,1.06542
fiat_eur_14042015,fiat_eur,14-04-2015,1.06542,1.0702,1.05706,1.06829
fiat_eur_15042015,fiat_eur,15-04-2015,1.06829,1.08177,1.06246,1.07605
fiat_eur_16042015,fiat_eur,16-04-2015,1.07605,1.08487,1.07335,1.08
fiat_eur_17042015,fiat_eur,17-04-2015,1.07605,1.08487,1.07335,1.08
fiat_eur_18042015,fiat_eur,18-04-2015,1.07605,1.08487,1.07335,1.08
fiat_eur_19042015,fiat_eur,19-04-2015,1.08146,1.08201,1.07121,1.07373
fiat_eur_20042015,fiat_eur,20-04-2015,1.07373,1.07813,1.06598,1.07347
fiat_eur_21042015,fiat_eur,21-04-2015,1.07347,1.08009,1.07085,1.07233
fiat_eur_22042015,fiat_eur,22-04-2015,1.07233,1.08458,1.0666,1.08237
fiat_eur_23042015,fiat_eur,23-04-2015,1.08237,1.08999,1.07849,1.08668
fiat_eur_24042015,fiat_eur,24-04-2015,1.08237,1.08999,1.07849,1.08668
fiat_eur_25042015,fiat_eur,25-04-2015,1.08237,1.08999,1.07849,1.08668
fiat_eur_26042015,fiat_eur,26-04-2015,1.08607,1.09265,1.08193,1.08895
fiat_eur_27042015,fiat_eur,27-04-2015,1.08895,1.09911,1.08601,1.09803
fiat_eur_28042015,fiat_eur,28-04-2015,1.09803,1.11878,1.09593,1.11276
fiat_eur_29042015,fiat_eur,29-04-2015,1.11276,1.12661,1.10711,1.12236
fiat_eur_30042015,fiat_eur,30-04-2015,1.12236,1.129,1.11744,1.11938
fiat_eur_01052015,fiat_eur,01-05-2015,1.12236,1.129,1.11744,1.11938
fiat_eur_02052015,fiat_eur,02-05-2015,1.12236,1.129,1.11744,1.11938
fiat_eur_03052015,fiat_eur,03-05-2015,1.11886,1.12246,1.11225,1.11449
fiat_eur_04052015,fiat_eur,04-05-2015,1.11449,1.12231,1.10664,1.11851
fiat_eur_05052015,fiat_eur,05-05-2015,1.11851,1.13701,1.11748,1.13466
fiat_eur_06052015,fiat_eur,06-05-2015,1.13466,1.13917,1.12372,1.12655
fiat_eur_07052015,fiat_eur,07-05-2015,1.12655,1.1289,1.11789,1.12091
fiat_eur_08052015,fiat_eur,08-05-2015,1.12655,1.1289,1.11789,1.12091
fiat_eur_09052015,fiat_eur,09-05-2015,1.12655,1.1289,1.11789,1.12091
fiat_eur_10052015,fiat_eur,10-05-2015,1.11989,1.1206,1.11308,1.11551
fiat_eur_11052015,fiat_eur,11-05-2015,1.11551,1.12787,1.11343,1.12123
fiat_eur_12052015,fiat_eur,12-05-2015,1.12123,1.13827,1.12024,1.13537
fiat_eur_13052015,fiat_eur,13-05-2015,1.13537,1.14446,1.13406,1.1409
fiat_eur_14052015,fiat_eur,14-05-2015,1.1409,1.14667,1.13235,1.14438
fiat_eur_15052015,fiat_eur,15-05-2015,1.1409,1.14667,1.13235,1.14438
